Campaign_id,start_date,end_date,Impression,duration_days,CW0,CW1,CW2,CW3,CW4,CW5,CW6,CW7,CW8,CW9,CW10,CW11,CW12,CW13,CW14,CW15,CW16,CW17,CW18,CW19,CW20,CW21,CW22,CW23,CW24,CW25,CW26,CW27,CW28,CW29,CW30,CW31,CW32,CW33,CW34,CW35,CW36,CW37,CW38,CW39,CW40,CW41,CW42,CW43,CW44,CW45,CW46,CW47,CW48,CW49,CW50,CW51,CW52,total_weeks
660202,2017-03-03 00:00:00,2017-03-09 00:00:00,1792172143,7,0,0,0,0,0,0,0,0,0,768073776,1024098367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
823719,2017-02-06 00:00:00,2017-02-12 00:00:00,186504119,7,0,0,0,0,0,0,186504119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
986754,2017-02-25 00:00:00,2017-03-02 00:00:00,1987903068,6,0,0,0,0,0,0,0,0,662634356,1325268712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2144261,2017-03-21 00:00:00,2017-03-21 00:00:00,102565720,1,0,0,0,0,0,0,0,0,0,0,0,0,102565720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2441433,2017-02-20 00:00:00,2017-02-20 00:00:00,349293774,1,0,0,0,0,0,0,0,0,349293774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2612719,2017-07-07 00:00:00,2017-07-16 00:00:00,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2734270,2017-07-17 00:00:00,2017-07-23 00:00:00,87879959,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87879959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3193014,2017-11-13 00:00:00,2017-11-14 00:00:00,121213670,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121213670,0,0,0,0,0,0,1
3412620,2017-11-15 00:00:00,2017-11-15 00:00:00,12160778,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12160778,0,0,0,0,0,0,1
3626245,2017-03-04 00:00:00,2017-03-04 00:00:00,12199753,1,0,0,0,0,0,0,0,0,0,12199753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
